****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
114 (QN/Block) 	Elapsed: 3.418	Loglikelihood: -4.92955e+06	(delta): 1.07763
115 (QN/Block) 	Elapsed: 3.522	Loglikelihood: -4.92955e+06	(delta): 0.871476
116 (QN/Block) 	Elapsed: 3.306	Loglikelihood: -4.92955e+06	(delta): -1.06692
117 (QN/Block) 	Elapsed: 3.192	Loglikelihood: -4.92955e+06	(delta): 0.179427
118 (QN/Block) 	Elapsed: 3.214	Loglikelihood: -4.92958e+06	(delta): -35.0529
119 (QN/Block) 	Elapsed: 3.319	Loglikelihood: -4.92958e+06	(delta): 0.602645
120 (QN/Block) 	Elapsed: 3.509	Loglikelihood: -4.92958e+06	(delta): 3.2636
121 (QN/Block) 	Elapsed: 3.402	Loglikelihood: -4.92958e+06	(delta): 0.452592
122 (QN/Block) 	Elapsed: 3.396	Loglikelihood: -4.92958e+06	(delta): 0.388842
123 (QN/Block) 	Elapsed: 3.442	Loglikelihood: -4.92958e+06	(delta): 0.442715
124 (QN/Block) 	Elapsed: 3.261	Loglikelihood: -4.92958e+06	(delta): -4.98664
125 (QN/Block) 	Elapsed: 3.279	Loglikelihood: -4.92959e+06	(delta): -1.18547
126 (QN/Block) 	Elapsed: 3.325	Loglikelihood: -4.92959e+06	(delta): 0.678035
127 (QN/Block) 	Elapsed: 3.472	Loglikelihood: -4.92958e+06	(delta): 2.50071
128 (QN/Block) 	Elapsed: 3.304	Loglikelihood: -4.92958e+06	(delta): 0.589829
129 (QN/Block) 	Elapsed: 3.273	Loglikelihood: -4.92958e+06	(delta): -0.00043569
130 (QN/Block) 	Elapsed: 3.491	Loglikelihood: -4.92958e+06	(delta): 0.204326
131 (QN/Block) 	Elapsed: 3.421	Loglikelihood: -4.92959e+06	(delta): -4.43906
132 (QN/Block) 	Elapsed: 3.565	Loglikelihood: -4.92959e+06	(delta): 0.452852
133 (QN/Block) 	Elapsed: 3.411	Loglikelihood: -4.92958e+06	(delta): 1.75493
134 (QN/Block) 	Elapsed: 3.316	Loglikelihood: -4.92958e+06	(delta): 1.08527
135 (QN/Block) 	Elapsed: 3.288	Loglikelihood: -4.92958e+06	(delta): 0.7081
